No.	Pokémon	Entry	Bucket	Weight	Lv. Min	Lv. Max	Biomes	Excluded Biomes	Time	Weather	Multipliers	Context	Presets	Conditions	Anticonditions	skyLightMin	skyLightMax	canSeeSky	
1	Bulbasaur	1	ultra-rare	6	5	32	Jungle, Tropical Island		any	any		grounded	Natural			8	15		
2	Ivysaur	1	ultra-rare	3.6	16	40	Jungle, Tropical Island		any	any		grounded	Natural			8	15		
3	Venusaur	1	ultra-rare	0.4	32	52	Jungle, Tropical Island		any	any		grounded	Natural			8	15		
4	Charmander	1	ultra-rare	6	5	31	Hills, Volcanic		any	clear		grounded	Natural			8	15		
4	Charmander	2	ultra-rare	6	5	31	Nether Basalt		any	any		grounded	Natural					any	
5	Charmeleon	1	ultra-rare	3.6	16	40	Hills, Volcanic		any	clear		grounded	Natural			8	15		
5	Charmeleon	2	ultra-rare	3.6	16	40	Nether Basalt		any	any		grounded	Natural					any	
6	Charizard	1	ultra-rare	0.4	36	53	Hills, Volcanic		any	clear		grounded	Natural			8	15		
6	Charizard	2	ultra-rare	0.4	36	53	Nether Basalt		any	any		grounded	Natural					any	
7	Squirtle	1	ultra-rare	6	5	31	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		grounded	Natural	#minecraft:water		8	15		
7	Squirtle	2	ultra-rare	6	5	31	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		submerged	Water					TRUE	
7	Squirtle	3	ultra-rare	6	5	31	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		fishing						TRUE	
7	Squirtle	4	ultra-rare	6	5	31	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		submerged	Water			8	15	FALSE	
7	Squirtle	5	ultra-rare	6	5	31	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		fishing				8	15	FALSE	
8	Wartortle	1	ultra-rare	3.6	16	40	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		grounded	Natural	#minecraft:water		8	15		
8	Wartortle	2	ultra-rare	3.6	16	40	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		submerged	Water					TRUE	
8	Wartortle	3	ultra-rare	3.6	16	40	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		fishing						TRUE	
8	Wartortle	4	ultra-rare	3.6	16	40	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		submerged	Water			8	15	FALSE	
8	Wartortle	5	ultra-rare	3.6	16	40	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		fishing				8	15	FALSE	
9	Blastoise	1	ultra-rare	0.4	36	53	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		grounded	Natural	#minecraft:water		8	15		
9	Blastoise	2	ultra-rare	0.4	36	53	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		submerged	Water					TRUE	
9	Blastoise	3	ultra-rare	0.4	36	53	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		fishing						TRUE	
9	Blastoise	4	ultra-rare	0.4	36	53	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		submerged	Water			8	15	FALSE	
9	Blastoise	5	ultra-rare	0.4	36	53	Freshwater, Hills, Jungle, Temperate, Tropical Island	Freezing	any	any		fishing				8	15	FALSE	
10	Caterpie	1	common	7	1	20	Forest, Plains, Skyroot Forest, Skyroot Woodland	Freezing, Spooky	any	any		grounded	Natural, Foliage, Treetop			8	15		
10	Caterpie [Valencian]	3	common	7	1	20	Jungle, Tropical Island		any	any		grounded	Natural, Treetop			8	15		
10	Caterpie [Valencian]	4	common	4.5	1	20	Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
11	Metapod	1	common	2	7	21	Forest, Plains, Skyroot Forest, Skyroot Woodland	Freezing, Spooky	any	any		grounded	Natural, Foliage, Treetop			8	15		
11	Metapod [Valencian]	3	common	2	7	21	Jungle, Tropical Island		any	any		grounded	Natural, Treetop			8	15		
11	Metapod [Valencian]	4	common	1	7	21	Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
12	Butterfree	1	common	1	10	40	Temperate	Floral, Freezing, Spooky	day	clear		grounded	Natural			8	15		
12	Butterfree	2	common	10	10	40	Floral		day	clear		grounded	Natural			8	15		
12	Butterfree	3	common	1	10	40	Aether		any	any		grounded	Natural			8	15		
12	Butterfree [Valencian]	4	common	1	10	40	Jungle, Tropical Island		day	clear		grounded	Natural			8	15		
12	Butterfree [Valencian]	5	common	5	10	40	Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
13	Weedle	1	common	7	1	20	Forest, Jungle, Skyroot Forest, Skyroot Woodland	Freezing	any	any		grounded	Natural, Treetop			8	15		
13	Weedle	2	common	3	1	20	Bumblezone		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
14	Kakuna	1	common	2	7	21	Forest, Jungle, Skyroot Forest, Skyroot Woodland	Freezing	any	any		grounded	Natural, Treetop			8	15		
14	Kakuna	2	common	2	7	21	Bumblezone		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
15	Beedrill	1	common	1	10	40	Forest, Jungle, Skyroot Forest, Skyroot Woodland	Freezing	day	clear		grounded	Natural			8	15		
15	Beedrill	2	common	5	10	40	Bumblezone		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
